row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
696,정상운영,체력단련장,청주시,,충청북도,휘트니스 오름,충청북도 청주시 흥덕구 내수동로 43(복대동),충청북도 청주시 흥덕구 복대동 857-8
697,정상운영,체력단련장,청주시,,충청북도,리미티드 짐,충청북도 청주시 서원구 장전로 8(성화동),충청북도 청주시 서원구 성화동 731
698,정상운영,체력단련장,청주시,,충청북도,휘트니스 온,충청북도 청주시 상당구 중고개로 129(용암동),충청북도 청주시 상당구 용암동 3077
699,정상운영,체력단련장,하남시,,경기도,크로스핏 에이블 하남,경기도 하남시 하남대로 837(덕풍동),경기도 하남시 덕풍동 319-2 남도빌딩
700,정상운영,체력단련장,용인시,성복동,경기도,제이트레이닝센터,경기도 용인시 수지구 성복2로 100(성복동),경기도 용인시 수지구 성복동 162-2 예반 아이엔 프라자
701,정상운영,체력단련장,세종시,나성동,세종특별자치시,길라잡이 체육관 나성점,"세종특별자치시 나성북로 21, 센트럴타워 903,904호 (나성동)",세종특별자치시 나성동 800 센트럴타워 
702,정상운영,체력단련장,가평군,,경기도,시골근육,"경기도 가평군 설악면 신천중앙로 150, 3,4층",경기도 가평군 설악면 신천리 574-8 
703,정상운영,체력단련장,안성시,석정동,경기도,노스짐,경기도 안성시 중앙로 274-14(석정동),경기도 안성시 석정동 131-9
704,정상운영,체력단련장,안성시,옥산동,경기도,빅토리짐,경기도 안성시 아양1로 77-10(옥산동),경기도 안성시 옥산동 598
705,정상운영,체력단련장,안성시,옥산동,경기도,스포데이 휘트니스,경기도 안성시 아양1로 77-31(옥산동),경기도 안성시 옥산동 594-1
706,정상운영,체력단련장,안성시,도기동,경기도,아트짐,경기도 안성시 도기6길 7(도기동),경기도 안성시 도기동 147-7
707,정상운영,체력단련장,안성시,만정리,경기도,식스컷츠 안성공도점,경기도 안성시 공도읍 공도4로 3,경기도 안성시 공도읍 만정리 817-2 우성메디컬프라자
708,정상운영,체력단련장,성남시,,경기도,exHolic 이매점,"경기도 성남시 분당구 이매로 45, 3층 (이매동)",경기 성남시 분당구 이매로 45
709,정상운영,체력단련장,북구,,광주광역시,에스짐 오치점,광주광역시 북구 설죽로 333(매곡동),광주광역시 북구 매곡동 17
710,정상운영,체력단련장,성동구,,서울특별시,올림픽휘트니스,"서울특별시 성동구 뚝섬로 400, 뚝섬쇼핑센타 3층 (성수동2가)",서울특별시 성동구 성수동2가 339-5 뚝섬쇼핑센타 
711,정상운영,체력단련장,천안시,쌍용동,충청남도,(주)하이렉스파 스포츠웰빙타운,충청남도 천안시 서북구 불당대로 260 (쌍용동),충청남도 천안시 서북구 쌍용동 222 하이렉스파
712,정상운영,체력단련장,논산시,내동,충청남도,핫플짐,충청남도 논산시 시민로 243(내동),충청남도 논산시 내동 368-8
713,정상운영,체력단련장,의정부시,민락동,경기도,GYMpathy(짐파시),경기도 의정부시 오목로 111 (민락동),경기도 의정부시 민락동 574 삼보빌딩
714,정상운영,체력단련장,순천시,가곡동,전라남도,MASTER GYM,전라남도 순천시 중앙로 310 (가곡동),전라남도 순천시 가곡동 1001-9 애플볼링장
715,정상운영,체력단련장,광양시,,전라남도,힘피트니스,전라남도 광양시 광장로 125(중동),전라남도 광양시 중동 1674 광양시티프라자
716,정상운영,체력단련장,안성시,,경기도,건강헬스달림방,경기도 안성시 일죽면 주래본죽로 17,경기도 안성시 일죽면 송천리 33-5
717,정상운영,체력단련장,순천시,왕지동,전라남도,오늘너핏,전라남도 순천시 왕지3길 4-93 (왕지동),전라남도 순천시 왕지동 857-13
718,정상운영,체력단련장,충주시,,충청북도,일오삼GYM앤필라테스,충청북도 충주시 계명대로 29(칠금동),충청북도 충주시 칠금동 842 금강빌딩
719,정상운영,체력단련장,충주시,,충청북도,MAD GYM,충청북도 충주시 계명대로 119(교현동),충청북도 충주시 교현동 1139
720,정상운영,체력단련장,이천시,,경기도,D.S GYM,경기도 이천시 중리천로31번길 2(창전동),경기도 이천시 창전동 154-13
721,정상운영,체력단련장,제천시,,충청북도,몬스터팩토리피트니스,충청북도 제천시 용두천로 272 (장락동),
722,정상운영,체력단련장,군포시,,경기도,강현정피티,경기도 군포시 산본로323번길 13(산본동),경기도 군포시 산본동 1142-12 군포상가
723,정상운영,체력단련장,시흥시,,경기도,맞춤운동센터,"경기도 시흥시 비둘기공원5길 16, 대야 프라자 3층 306호 (대야동)",경기도 시흥시 대야동 530-2 대야 프라자 
724,정상운영,체력단련장,서구,충무동2가,부산광역시,피트니스 코리아,"부산광역시 서구 충무대로275번길 20(충무동2가, 에코펠리스)",부산광역시 서구 충무동2가 1-5 에코펠리스
725,정상운영,체력단련장,북구,화명동,부산광역시,지젤피트니스클럽,"부산광역시 북구 화명대로 32, 701,801,802호 (화명동)",부산광역시 북구 화명동 2276-2 
726,정상운영,체력단련장,하남시,덕풍동,경기도,바른피티,경기도 하남시 신장로 156 (덕풍동),경기도 하남시 덕풍동 394-1 하남프라자
727,정상운영,체력단련장,해운대구,우동,부산광역시,핏플러스 제임스 피트니스,부산광역시 해운대구 센텀동로 6 (우동),부산광역시 해운대구 우동 1499 홈플러스 센텀시티점
728,정상운영,체력단련장,경산시,정평동,경상북도,메가짐 정평점,경상북도 경산시 대학로8길 25 (정평동),경상북도 경산시 정평동 212
729,정상운영,체력단련장,화성시,진안동,경기도,메꿀PT,경기도 화성시 효행로 1059 (진안동),경기도 화성시 진안동 914-2 미래프라자
