row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
36,폐업,0,배드민턴,양산시,,0,경상남도,위너배드민턴센터,경상남도 양산시 솔밭골길 7-20(명동),경상남도 양산시 명동 174-7
37,폐업,35.36678843,배드민턴,양산시,,129.1662829,경상남도,이수환배드민턴센터,경상남도 양산시 매곡외산로 156-24(덕계동),경상남도 양산시 덕계동 62
38,정상운영,0,배드민턴,원주시,,0,강원도,제이제이스포츠,강원도 원주시 판부면 내도매길 102-4,강원도 원주시 판부면 서곡리 925
39,정상운영,0,배드민턴,원주시,,0,강원도,김석영 배드민턴 체육관,강원도 원주시 소초면 치악로 2716,강원도 원주시 소초면 평장리 668
40,정상운영,37.5203397,배드민턴,송파구,방이동,127.1155179,서울특별시,올림픽공원 스포츠센터,서울특별시 송파구 올림픽로 424(방이동),서울특별시 송파구 방이동 88 올림픽공원
41,정상운영,34.87204675,배드민턴,통영시,,128.4159919,경상남도,통영원탑배드민턴센터,경상남도 통영시 광도면 원문마을2길 49-27,경상남도 통영시 광도면 죽림리 564-7
42,정상운영,37.52021468,배드민턴,하남시,,127.1511608,경기도,스킬턴 (Skillton),경기도 하남시 서하남로43번길 100(감북동),경기도 하남시 감북동 228-4
43,정상운영,0,배드민턴,하남시,,0,경기도,스킬턴 (Skillton),경기도 하남시 서하남로43번길 106(감북동),경기도 하남시 감북동 228-11
44,정상운영,35.8946385,배드민턴,동구,방촌동,128.6769925,대구광역시,온 배드민턴,대구광역시 동구 둔산로40길 17(방촌동),대구광역시 동구 방촌동 36-5
45,정상운영,37.59619224,배드민턴,서구,오류동,126.6370515,인천광역시,꿀민턴 스포츠센터,인천광역시 서구 봉화로 33(오류동),인천광역시 서구 오류동 1726-9
46,정상운영,37.34178261,배드민턴,원주시,,127.9396963,강원도,윤이콕아카데미,강원도 원주시 단구로 80(단계동),강원도 원주시 단계동 802-4
47,정상운영,37.39508049,배드민턴,광주시,태전동,127.2165573,경기도,배드민턴 해라,경기도 광주시 고불로 194(태전동),경기도 광주시 태전동 496-2
48,정상운영,35.59349518,배드민턴,울주군,지내리,129.1103506,울산광역시,솔배드민턴센터,울산광역시 울주군 상북면 향산다개로 198,울산광역시 울주군 상북면 지내리 797-1
49,정상운영,37.77852976,배드민턴,강릉시,송정동,128.9295038,강원도,성신스포츠(송정),강원도 강릉시 송정길33번길 19-6(송정동),강원도 강릉시 송정동 468
50,정상운영,37.77852976,배드민턴,강릉시,송정동,128.9295038,강원도,성신배드민턴,강원도 강릉시 송정길33번길 19-6(송정동),강원도 강릉시 송정동 468
51,정상운영,35.10818451,배드민턴,남구,,126.8732664,광주광역시,사단법인 송원스포츠클럽,광주광역시 남구 송암로 73(송하동),"광주광역시 남구 송하동 365-7 송원대학교,송원학원"
52,정상운영,37.63810546,배드민턴,고양시,대장동,126.8184056,경기도,트라움스포츠아카데미,경기도 고양시 덕양구 대장길50번길 79-7(대장동),경기도 고양시 덕양구 대장동 330-9
53,정상운영,37.32893441,배드민턴,용인시,신봉동,127.0671418,경기도,용인시국민체육센터,경기도 용인시 수지구 신봉1로 181(신봉동),경기도 용인시 수지구 신봉동 963 용인시 국민체육센터
54,정상운영,37.39486255,배드민턴,광주시,,127.2226131,경기도,주식회사 크로민턴,경기도 광주시 고불로 138-19(태전동),경기도 광주시 태전동 383
55,정상운영,37.35627021,배드민턴,광주시,,127.2502825,경기도,티케이 배드민턴 아레나,경기도 광주시 매자리길 33(매산동),경기도 광주시 매산동 241-3
