row_num,faci_stat_nm,ftype_nm,cp_nm,cpb_nm,addr_emd_nm,faci_nm,faci_road_addr,faci_addr,faci_lat,faci_lot
6398,정상운영,축구장,전라남도,영광군,,종합운동장(축구전용구장),영광읍 월현로 170,전남 영광군 영광읍 월현로 170,0,0
6399,정상운영,축구장,경기도,고양시,,지도공원축구장,,,0,0
6400,정상운영,축구장,전라남도,구례군,,구례공설운동장보조축구장,구례군 구례읍 서시천로 106,,0,0
6401,정상운영,축구장,경상남도,창녕군,,남지체육공원(축구장),경남 창녕군 남지읍 남지리 835-25,경남 창녕군 남지읍 남지리 835-25,0,0
6402,정상운영,축구장,전라북도,순창군,,다목적풋살경기장,순창군 순창읍 교성리 244-3번지 외,전북 순창군 순창읍 교성리 244-3,0,0
6403,정상운영,축구장,부산광역시,금정구,,노포동차량기지창축구장,,,0,0
6404,정상운영,축구장,경기도,용인시,,모현레스피아축구장,경기 용인시 처인구 모현면 일산리 39-3,경기 용인시 처인구 모현면 일산리 39-3,0,0
6405,정상운영,축구장,경기도,고양시,,원능하수처리장축구장,토당동 676-21,경기 고양시 덕양구 토당동 676-21,0,0
6406,정상운영,축구장,전라남도,화순군,대리,화순인조잔디구장,전라남도 화순군 화순읍 학포로 2698,,0,0
6407,정상운영,축구장,전라북도,장수군,장계리,장계체육공원축구장,전라북도 장수군 장계면 체육공원길 40,,0,0
6408,정상운영,축구장,대전광역시,,,대전월드컵경기장,유성구 월드컵대로 32(노은동),,0,0
6409,정상운영,축구장,경기도,파주시,,적성체육공원축구장,적성면 마지리 33-1,경기 파주시 적성면 마지리 33-1,0,0
6410,정상운영,축구장,경상북도,구미시,,동락공원축구장,칠곡군 석적읍 중리 495-6,경북 칠곡군 석적읍 중리 495-6,0,0
6411,정상운영,축구장,강원도,동해시,,전용구장,동해시 덕골길 10,강원 동해시 덕골길 10,0,0
6412,정상운영,축구장,충청남도,예산군,향천리,예산종합운동장보조경기장,충청남도 예산군 예산읍 예산로 344,,0,0
