row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
128,정상운영,0,태권도,안성시,,0,경기도,안성 우리아이 태권도장,경기도 안성시 공도읍 서동대로 4418,경기도 안성시 공도읍 양기리 332-5
129,정상운영,36.66998229,태권도,청주시,율량동,127.4914872,충청북도,명성태권도,충청북도 청주시 청원구 공항로150번길 135 (율량동),충청북도 청주시 청원구 율량동 732-2
130,폐업,37.61163077,태권도,남양주시,,127.1636312,경기도,인성태권도장,경기도 남양주시 미금로 232 (다산동),경기도 남양주시 다산동 4002-39 부영그린타운
131,정상운영,0,태권도,밀양시,,0,경상남도,선인태권도장,경상남도 밀양시 가곡7길 9(가곡동),경상남도 밀양시 가곡동 590-37
132,정상운영,,태권도,김해시,,,경상남도,태현태권도장,"경상남도 김해시 가락로 293, 2층 (구산동)",경상남도 김해시 구산동 482-5 
133,정상운영,37.24173995,태권도,수원시,곡반정동,127.0341652,경기도,파워점핑,경기도 수원시 권선구 곡반정로 160(곡반정동),경기도 수원시 권선구 곡반정동 653 라퍼스트
134,정상운영,37.16178584,태권도,화성시,,127.111856,경기도,한국 파워점핑 줄넘기태권도,경기도 화성시 동탄대로4길 53 (장지동),경기도 화성시 장지동 971-6
135,정상운영,37.16178584,태권도,화성시,,127.111856,경기도,K타이거즈 남동탄관,경기도 화성시 동탄대로4길 53 (장지동),경기도 화성시 장지동 971-6
136,정상운영,37.16181762,태권도,화성시,,127.1102471,경기도,동탄 용인대 청아태권도장,경기도 화성시 동탄대로4길 39 (장지동),경기도 화성시 장지동 971-1
137,폐업,37.15931153,태권도,화성시,,127.104456,경기도,용인대 서연태권도장,경기도 화성시 동탄장지천5길 30-7 (장지동),경기도 화성시 장지동 955-2
138,정상운영,,태권도,수원시,,,경기도,인화태권도장,"경기도 수원시 영통구 매탄로 82 (매탄동, 우남퍼스트빌상가 201)",경기도 수원시 영통구 매탄동 1274 우남퍼스트빌상가 201 
139,정상운영,37.26182208,태권도,수원시,,127.0414134,경기도,경희대선호태권도,"경기도 수원시 영통구 효원로 363 (매탄동, 매탄 위브 하늘채)",경기도 수원시 영통구 매탄동 1352 매탄 위브 하늘채
140,정상운영,37.2698707,태권도,수원시,,127.0496987,경기도,코리아태권도체육관,"경기도 수원시 영통구 산남로 74, 3층 (매탄동, 선우장미연립)",경기도 수원시 영통구 매탄동 111-165번지 선우장미연립 
141,정상운영,,태권도,기장군,매학리,,부산광역시,바로체태권도,"부산광역시 기장군 정관읍 정관6로 21, 2, 3층","부산광역시 기장군 정관읍 매학리 721-9 2층, 3층 "
142,정상운영,37.55046123,태권도,강서구,,126.8317134,서울특별시,경희대 석사 비룡 태권도장,"서울특별시 강서구 강서로45길 118, 2층 (내발산동)",서울 강서구 강서로45길 118
143,정상운영,37.54162818,태권도,양천구,,126.8826428,서울특별시,태광태권도체육관,"서울특별시 양천구 목동서로2길 22, 상가동 4층 402호 (목동)",서울 양천구 목동서로2길 22
144,폐업,37.37218763,태권도,군포시,산본동,126.9279082,경기도,품 태권도장,경기도 군포시 산본로482번길 3 (산본동),
145,정상운영,35.11123654,태권도,남구,용호동,129.1100368,부산광역시,자의누리태권도,부산광역시 남구 용호로216번가길 40 (용호동),부산광역시 남구 용호동  556-1 용호동 성모프라자
146,정상운영,,태권도,세종시,죽림리,,세종특별자치시,힘찬 태권 스쿨,"세종특별자치시 조치원읍 산막길 17, 301동 203~206호 (우방유쉘아파트)",세종특별자치시 조치원읍 죽림리 72 우방유쉘아파트 
147,정상운영,,태권도,수원시,곡반정동,,경기도,미스터샤크 수원 주짓수 킥복싱 멀티짐,"경기도 수원시 영통구 영통로90번길 20-11, 2층 (망포동)",경기도 수원시 영통구 망포동 485-5 
148,정상운영,37.30410401,태권도,수원시,이의동,127.0468779,경기도,광교MTA태권도장,경기도 수원시 영통구 웰빙타운로49번길 32 (이의동),경기도 수원시 영통구 이의동 1204-7
149,정상운영,37.28532092,태권도,수원시,이의동,127.0532241,경기도,광교경희대국가대표태권도장,"경기도 수원시 영통구 도청로17번길 34, 에듀메디컬 5층 501호 (이의동)",경기도 수원시 영통구 이의동 1341-1 에듀메디컬 
150,정상운영,37.24683672,태권도,수원시,영통동,127.0605153,경기도,창대태권도장,경기도 수원시 영통구 영통로218번길 58(영통동),경기도 수원시 영통구 영통동 974-5
151,정상운영,37.24270362,태권도,수원시,망포동,127.0622532,경기도,용인대 대선태권도장,"경기도 수원시 영통구 영통로200번길 112 (망포동, 영통 SK VIEW)",경기도 수원시 영통구 망포동 725 영통 SK VIEW
152,정상운영,,태권도,수원시,망포동,,경기도,자란다 태권도장,"경기도 수원시 영통구 영통로154번길 60, 405호 (망포동, 망포센트럴프라자)",경기도 수원시 영통구 망포동 417-2 망포센트럴프라자 405호
153,정상운영,37.85353344,태권도,파주시,문산리,126.7845851,경기도,임진태권도장,경기도 파주시 문산읍 문향로17번길 15-16,
154,정상운영,,태권도,용인시,상현동,,경기도,국가대표 화랑 태권도장,"경기도 용인시 수지구 광교마을로 91, 4층 401~402호 (상현동)",경기도 용인시 수지구 상현동 1130-2 
155,정상운영,35.13065273,태권도,창원시,,128.7041196,경상남도,행복한태권도장,"경상남도 창원시 진해구 충장로657번길 4, 동영빌딩 4층 (장천동)",경상남도 창원시 진해구 장천동 467-8번지 
156,정상운영,0,태권도,시흥시,,0,경기도,용인대 태권도장,경기도 시흥시 하중로 131-1(하중동),경기도 시흥시 하중동 825-5 하중순복음교회
157,정상운영,37.4431025,태권도,성남시,,127.1626517,경기도,금빛태권도장,"경기도 성남시 중원구 금광로 26(금광동, e편한세상금빛그랑메종)",경기도 성남시 중원구 금광동 1003 e편한세상금빛그랑메종
158,정상운영,0,태권도,북구,,0,광주광역시,한결태권도장,광주광역시 북구 서강로54번길 20(운암동),광주광역시 북구 운암동 852
