row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
734,정상운영,36.59453195,유도,홍성군,옥암리,126.6615521,충청남도,홍성유도관,충청남도 홍성군 홍성읍 문화로 79,충청남도 홍성군 홍성읍 오관리 499-1번지 지하 
735,폐업,36.66306023,유도,청주시,사천동,127.4733075,충청북도,백곰유도클럽 청주사천점,충청북도 청주시 청원구 율봉로 25 (사천동),충청북도 청주시 청원구 사천동 436-13
736,정상운영,35.48529579,유도,밀양시,삼문동,128.7560405,경상남도,밀양유도관,경상남도 밀양시 삼문중앙로 37 (삼문동),경상남도 밀양시 삼문동 162-2
737,정상운영,38.21275641,유도,철원군,,127.2171325,강원도,철원유도관,강원도 철원군 철원읍 화지로 18,강원도 철원군 철원읍 화지리 28-23
738,폐업,36.63944926,유도,청주시,복대동,127.4339328,충청북도,오륜유도관 청주4관,충청북도 청주시 흥덕구 대신로73번길 23 (복대동),충청북도 청주시 흥덕구 복대동 3269
739,정상운영,35.83695097,유도,전주시,,127.0599587,전라북도,유도아카데미,전라북도 전주시 덕진구 오공로 43-7 (중동),전라북도 전주시 덕진구 중동 776-11
740,정상운영,35.31884971,유도,의령군,중동리,128.2622309,경상남도,의령유도체육관,"경상남도 의령군 의령읍 충익로 32, 상가 3층",경상남도 의령군 의령읍 중동리 411-1번지 상가 
741,정상운영,37.17451617,유도,오산시,금암동,127.0507401,경기도,천명유도관,경기도 오산시 문헌공로 3 (금암동),경기도 오산시 금암동 502-5 인피니트타워
742,,34.68358351,유도,장흥군,건산리,126.9055502,전라남도,정남진 장흥 유도회관,전라남도 장흥군 장흥읍 동교로 36-16,전라남도 장흥군 장흥읍 건산리 682-8
743,정상운영,33.49148584,유도,제주시,연동,126.4899524,제주특별자치도,열린유도관,제주특별자치도 제주시 신광로 8 (연동),제주특별자치도 제주시 연동 260-5
744,정상운영,33.4932502,유도,제주시,이도이동,126.5347034,제주특별자치도,미르유도체육관,제주특별자치도 제주시 중앙로 308 (이도이동),제주특별자치도 제주시 이도이동 1026
745,정상운영,37.36993015,유도,시흥시,정왕동,126.730075,경기도,본  주짓수 유도,경기도 시흥시 배곧3로 96 (정왕동),경기도 시흥시 정왕동 2514 M-플러스
746,정상운영,37.44544614,유도,시흥시,대야동,126.7981998,경기도,용인대 위닝 유도 클럽,경기도 시흥시 은행로167번길 3 (대야동),경기도 시흥시 대야동 578-3 대원빌딩
747,정상운영,37.69440372,유도,고양시,중산동,126.7804821,경기도,용인대BEST체육관,경기도 고양시 일산동구 중산로 249 (중산동),경기도 고양시 일산동구 중산동 1560 중산코아
748,정상운영,34.80429335,유도,목포시,상동,126.4251942,전라남도,용인대하당유도관,전라남도 목포시 신흥로45번길 12 (상동),전라남도 목포시 상동 879-6
749,폐업,34.79470663,유도,목포시,남교동,126.3810434,전라남도,목포시유도회관,전라남도 목포시 호남로24번길 6 (남교동),전라남도 목포시 남교동 51-48
750,정상운영,37.42880544,유도,과천시,중앙동,126.991739,경기도,몬스터 유도 주짓수 스포츠클럽,경기도 과천시 중앙로 137 (중앙동),경기도 과천시 중앙동 40-13 가보자빌딩
751,정상운영,37.59357382,유도,구리시,토평동,127.1508043,경기도,구리유도관,경기도 구리시 벌말로 194 (토평동),경기도 구리시 토평동 998-3 한주빌딩
752,정상운영,37.62562615,유도,남양주시,,127.1553702,경기도,필라로프 X 민앤마이노,경기도 남양주시 다산순환로 350 (다산동),"경기도 남양주시 다산동 6053 다산진건지구 상업2-7-1,2"
753,정상운영,34.95416064,유도,순천시,조례동,127.5319235,전라남도,한양라온유도관,전라남도 순천시 왕궁길 17 (조례동),전라남도 순천시 조례동 1832-14 버거빌
754,정상운영,37.59212266,유도,성북구,동소문동4가,127.0109147,서울특별시,한양대 유도,서울특별시 성북구 동소문로13길 39-36 (동소문동4가),서울특별시 성북구 동소문동4가 279 송산아파트
755,정상운영,37.50894816,유도,서초구,반포동,127.0219133,서울특별시,코브링야 강남,서울특별시 서초구 강남대로 525 (반포동),서울특별시 서초구 반포동 722-21 세영제이타워
756,정상운영,37.51896733,유도,강남구,청담동,127.0493693,서울특별시,MOB 트레이닝센터,서울특별시 강남구 학동로 443 (청담동),서울특별시 강남구 청담동 47-5 정한빌딩
757,정상운영,37.49296802,유도,강남구,역삼동,127.0395415,서울특별시,트리플핏,서울특별시 강남구 논현로63길 11 (역삼동),서울특별시 강남구 역삼동 798-21
758,폐업,,유도,성남시,백현동,,경기도,WAWA유소년스포츠클럽,경기도 성남시 분당구 동판교로 61 (백현동),경기도 성남시 분당구 백현동 550 자유퍼스트프라자2
759,정상운영,37.62237632,유도,노원구,월계동,127.0597742,서울특별시,국가대표 유도체육관,서울특별시 노원구 광운로 56 (월계동),서울특별시 노원구 월계동 383-30 정암빌딩
760,정상운영,37.47199905,유도,강남구,자곡동,127.0953692,서울특별시,대한유도관,서울특별시 강남구 자곡로 108 (자곡동),서울특별시 강남구 자곡동 634 미라클빌딩
761,정상운영,37.44248422,유도,성남시,중앙동,127.1527976,경기도,성남 중앙 유도체유관,경기도 성남시 중원구 산성대로 326-2 (중앙동),경기도 성남시 중원구 중앙동 352
