row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
897,정상운영,37.08283218,골프장,,지당리,127.7006102,충청북도,스타CC((주)나인포인트),충청북도 충주시 앙성면 상대촌1길 198,충청북도 충주시 앙성면 지당리 산93 상떼힐c.c
898,정상운영,36.94742657,골프장,,신계리,127.3867699,충청북도,천룡(천룡종합개발(주)),충청북도 진천군 이월면 진안로 347-123,충청북도 진천군 이월면 신계리 산77 천룡컨트리클럽
899,정상운영,37.03289431,골프장,,신효리,127.7777817,충청북도,센테리움(금강센테리움(주)),충청북도 충주시 노은면 솔고개로 750,충청북도 충주시 노은면 신효리 산81
900,정상운영,,골프,남구,,,인천광역시,태흥스크린골프존,"인천광역시 미추홀구 경원대로 848, 주안태흥프라자 5층 (주안동)",인천광역시 미추홀구 주안동 956-1 주안태흥프라자 
901,정상운영,37.03361881,골프장,,양덕리,127.4672532,충청북도,진양밸리(진양개발(주)),충청북도 음성군 삼성면 금일로 1195,충청북도 음성군 삼성면 양덕리 710 진양리조트 G.C
902,정상운영,36.9504087,골프장,,만정리,127.8496833,충청북도,대영힐스((주)대영베이스),충청북도 충주시 대소원면 성종두담길 114,충청북도 충주시 대소원면 만정리 산38 (주)대영베이스
903,정상운영,36.99445428,골프장,,대화리,127.6780147,충청북도,로얄포레((주)신니개발),충청북도 충주시 신니면 화치3길 35,충청북도 충주시 신니면 대화리 182 (주)신니개발
904,정상운영,36.61712955,골프장,,호정리,127.6192016,충청북도,골드나인(호정개발(주)),충청북도 청주시 상당구 낭성면 산성로 1520-71,충청북도 청주시 상당구 낭성면 호정리 167
905,정상운영,36.90227384,골프장,,갈월리,127.3123862,충청북도,히든밸리((주)아름다은),충청북도 진천군 백곡면 소토골길 61,충청북도 진천군 백곡면 갈월리 산22-1 히든밸리골프클럽
906,정상운영,36.54572647,골프장,,산막리,127.3904104,충청북도,세리니티(다옴홀딩스(주)),충청북도 청주시 서원구 남이면 문곡구절골길 235,충청북도 청주시 서원구 남이면 산막리 산122 실크리버 C·C
907,정상운영,37.56628703,골프,하남시,망월동,127.1892441,경기도,GDR아카데미 하남 미사점,경기도 하남시 미사강변중앙로 220 (망월동),
908,정상운영,37.51033509,골프장,송파구,잠실동,127.0716951,서울특별시,올림픽cc,서울특별시 송파구 올림픽로 8 (잠실동),서울특별시 송파구 잠실동 50
909,정상운영,37.2169283,골프,화성시,,126.9583813,경기도,제이골프,경기도 화성시 경기도 화성시 봉담읍 동화길 85,경기도 화성시 경기도 화성시 봉담읍 동화길 85
910,정상운영,36.56893519,골프,안동시,갈전리,128.5018284,경상북도,명당스크린골프,경상북도 안동시 풍천면 호수공원2길 12,
911,정상운영,37.66518052,골프,고양시,식사동,126.8160315,경기도,이룸골프아카데미 일산점,경기도 고양시 일산동구 고양대로 1143 (식사동),
912,폐업,37.29582606,골프,이천시,사음동,127.4134489,경기도,VIP스크린골프,경기도 이천시 경충대로 2982 (사음동),
913,정상운영,37.21411992,골프,화성시,,127.043609,경기도,한마음스크린,"경기도 화성시 경기도 화성시 병점1로 216-13, 304,305호 (병점동, 태안프라자)","경기도 화성시 경기도 화성시 병점1로 216-13, 304,305호 (병점동, 태안프라자)"
914,정상운영,37.21000733,골프,화성시,,126.8192017,경기도,수스크린골프,경기도 화성시 경기도 화성시 남양읍 남양시장로 92,경기도 화성시 경기도 화성시 남양읍 남양시장로 92
915,정상운영,37.21972971,골프,화성시,,127.0567135,경기도,반월포레스트(골프존파크 반월신동탄),"경기도 화성시 경기도 화성시 효행로 1227-8, 2층 (반월동)","경기도 화성시 경기도 화성시 효행로 1227-8, 2층 (반월동)"
916,정상운영,37.13104686,골프,화성시,,126.9224882,경기도,향남스크린골프존,경기도 화성시 경기도 화성시 향남읍 발안로 112,경기도 화성시 경기도 화성시 향남읍 발안로 112
917,정상운영,36.49787653,골프연습장,성남시,성남동,127.265434,경기도,성남종합스포츠센터 골프연습장,경기도 성남시 중원구 제일로 60 (성남동),
918,정상운영,36.57525129,골프,안동시,갈전리,128.5011374,경상북도,신도청 골프존,경상북도 안동시 풍천면 풍요5길 16-25,
919,정상운영,37.12252633,골프,화성시,수직리,126.9934195,경기도,향남골프스크린,경기도 화성시 향남읍 발안로 814,경기도 화성시 향남읍 수직리 114-12
920,폐업,37.13027347,골프,화성시,,126.9527929,경기도,동오스크린골프(주),경기도 화성시 경기도 화성시 향남읍 서봉로 610,경기도 화성시 경기도 화성시 향남읍 서봉로 610
921,정상운영,37.13812267,골프,화성시,,126.9426947,경기도,오케이 디온 스크린,경기도 화성시 경기도 화성시 향남읍 향봉로 40-8,경기도 화성시 경기도 화성시 향남읍 향봉로 40-8
922,정상운영,35.4136263,골프,양산시,석계리,129.0592558,경상남도,GOOD스크린골프,경상남도 양산시 상북면 반회서4길 6-16,경상남도 양산시 상북면 석계리 241-2 대신학원
923,정상운영,37.21750536,골프,화성시,,126.9594986,경기도,J&J 스크린골프,경기도 화성시 경기도 화성시 봉담읍 동화새터길 96,경기도 화성시 경기도 화성시 봉담읍 동화새터길 96
924,정상운영,37.10233196,골프,화성시,수촌리,126.84265,경기도,스카이 스크린 골프장,경기도 화성시 장안면 3.1만세로 362,경기도 화성시 장안면 수촌리 883-17
925,정상운영,37.16162242,골프,화성시,,126.9736645,경기도,GS스크린골프,경기도 화성시 경기도 화성시 정남면 서봉로 1020,경기도 화성시 경기도 화성시 정남면 서봉로 1020
926,정상운영,37.211229,골프,화성시,,127.0336259,경기도,붐비오스크린골프,"경기도 화성시 경기도 화성시 경기대로 1078-22 (진안동, J동 201호)","경기도 화성시 경기도 화성시 경기대로 1078-22 (진안동, J동 201호)"
927,정상운영,37.21170404,골프,화성시,진안동,127.0360641,경기도,원스크린골프,경기도 화성시 효행로 989 (진안동),경기도 화성시 진안동 507-3
928,정상운영,37.14301213,골프,화성시,,126.9212513,경기도,향남티업스크린골프,경기도 화성시 경기도 화성시 팔탄면 도이3길 27,경기도 화성시 경기도 화성시 팔탄면 도이3길 27
929,정상운영,35.8618321,골프,화성시,,129.2233279,경기도,골프존파크 안녕점,"경기도 화성시 효행로614번길 9-3, ,9-6 (안녕동)",경기도 화성시 안녕동 154-16 
930,정상운영,36.33075425,골프,서구,도안동,127.3390824,대전광역시,낭만 Golf Studio,대전광역시 서구 도안북로93번길 10-3 (도안동),
931,정상운영,37.25787466,골프,용인시,상하동,127.1422869,경기도,이지골프스쿨,경기도 용인시 기흥구 중부대로788번길 5(상하동),경기도 용인시 기흥구 상하동 163-11
932,정상운영,37.42522383,골프장,광주시,삼동,127.2095316,경기도,뉴서울컨트리클럽,경기도 광주시 삼지곡길 95 (삼동),경기도 광주시 삼동  1 뉴서울컨트리클럽
933,정상운영,37.40580114,골프장,광주시,건업리,127.3846591,경기도,이스트밸리컨트리클럽,경기도 광주시 곤지암읍 건업길 195,경기도 광주시 곤지암읍 건업리 4-43
934,정상운영,37.35358734,골프장,광주시,이선리,127.4139461,경기도,남촌컨트리클럽,경기도 광주시 곤지암읍 부항길 135-38,경기도 광주시 곤지암읍 이선리 510
935,정상운영,,골프,금정구,청룡동,,부산광역시,김상욱 골프 아카데미,"부산광역시 금정구 청룡로 7, 2,3층 (청룡동)",부산광역시 금정구 청룡동 57-16 
936,정상운영,37.22718248,골프,정선군,사북리,128.8214838,강원도,SG스크린골프,강원도 정선군 사북읍 사북중앙로 64,강원도 정선군 사북읍 사북리 313-15
937,정상운영,,골프,남구,신정동,,울산광역시,엣지스크린,"울산광역시 남구 월평로 9, 2층 (신정동)",울산광역시 남구 신정동 639-7 
938,정상운영,37.27103934,골프,용인시,중동,127.1526251,경기도,명예의 전당 스크린골프,경기도 용인시 기흥구 동백중앙로 193(중동),경기도 용인시 기흥구 중동 849-1 동창프라자
939,정상운영,37.29247922,골프,용인시,,127.123817,경기도,홀인원스크린골프장,경기도 용인시 기흥구 구성로 135,
940,정상운영,36.88801302,골프연습장,봉화군,석평리,128.725514,경상북도,봉화그라운드골프장,경상북도 봉화군 봉화읍 범들로 447,
941,정상운영,37.48553668,골프,횡성군,읍상리,127.9851924,강원도,횡성실내골프연습장,강원도 횡성군 횡성읍 앞들동1로 26,
942,정상운영,37.2578743,골프,용인시,,127.160933,경기도,SG스크린골프(중동점),경기도 용인시 기흥구 동백죽전대로175번길 13 (중동),경기도 용인시 기흥구 중동 26
943,정상운영,37.27110412,골프,용인시,구갈동,127.1261451,경기도,기적골프,경기도 용인시 기흥구 강남로 3 (구갈동),경기도 용인시 기흥구 구갈동 581-1 강남앤플러스
944,정상운영,37.28113383,골프,용인시,,127.1124997,경기도,프렌즈스크린 기흥구청점,"경기도 용인시 기흥구 관곡로64번길 18, 9층 902호 (구갈동, 모닝프라자)",
945,정상운영,37.23788945,골프,용인시,공세동,127.1103212,경기도,골프존 파크 공세,경기도 용인시 기흥구 공세로 150-29 (공세동),경기도 용인시 기흥구 공세동 734-6
946,정상운영,37.27586776,골프,용인시,상하동,127.1440471,경기도,힐링 스크린 골프존,경기도 용인시 기흥구 어정로 129 (상하동),경기도 용인시 기흥구 상하동 483-1 어정프라자
947,폐업,35.84296171,골프,달서구,호산동,128.4877095,대구광역시,하얀집스크린,대구광역시 달서구 성서공단로11길 87 (호산동),대구광역시 달서구 호산동  708-6
948,정상운영,35.05295514,골프,사하구,,128.9615361,부산광역시,MK골프존,"부산광역시 사하구 부산광역시 사하구 다대낙조2길 85, B1층 3호 (다대동, 케이프포인트)","부산광역시 사하구 부산광역시 사하구 다대낙조2길 85, B1층 3호 (다대동, 케이프포인트)"
949,정상운영,37.67562446,골프,고양시,대화동,126.7477159,경기도,일산골프존스크린,경기도 고양시 일산서구 중앙로 1565 (대화동),경기도 고양시 일산서구 대화동 2222-1 메드위즈
