row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
41,정상운영,농구,김포시,,경기도,지앤지 김포한강(GNG 김포한강),"경기도 김포시 김포한강8로148번길 5, 유송타워 5층 501호,502호 (마산동)",경기도 김포시 마산동 650-3 
42,정상운영,농구,김포시,,경기도,이승현(LSH) 키크는 농구교실,경기도 김포시 양촌읍 석모로 103-1,경기도 김포시 양촌읍 석모리 1193-1
43,정상운영,농구,중구,,울산광역시,한마음에이치비씨 농구단,울산광역시 중구 성안7길 18-1(성안동),울산광역시 중구 성안동 502-5
44,정상운영,농구,용인시,풍덕천동,경기도,케이아이스포츠,경기도 용인시 수지구 수풍로37번길 42 (풍덕천동),경기도 용인시 수지구 풍덕천동 413
45,정상운영,농구,성남시,,경기도,위례 송파 주니어 나이츠,"경기도 성남시 수정구 위례순환로 130, 108,109호 (창곡동, 위례 아트리버 푸르지오)",경기도 성남시 수정구 창곡동 529 위례 아트리버 푸르지오 
46,정상운영,농구,해남군,,전라남도,플러스 농구교실,전라남도 해남군 해남읍 북부순환로 211-14,전라남도 해남군 해남읍 구교리 409-3
47,정상운영,농구,나주시,빛가람동,전라남도,빛가람농구교실,"전라남도 나주시 상야3길 8, 중흥s클래스 메가티움 2차 1층 112호 (빛가람동)",전라남도 나주시 빛가람동 200 중흥s클래스 메가티움 2차 
48,정상운영,농구,중구,운남동,인천광역시,윙스 농구연습장,인천광역시 중구 흰바위로 236 (운남동),인천광역시 중구 운남동 1600-1
49,정상운영,농구,무안군,남악리,전라남도,강동희농구교실,전라남도 무안군 삼향읍 대죽동로16번길 15,전라남도 무안군 삼향읍 남악리 2254 남악아울렛
50,정상운영,농구,서구,백석동,인천광역시,아이에스티 주식회사,인천광역시 서구 자원순환로 170(백석동),인천광역시 서구 백석동 58 수도권매립지공사
51,정상운영,농구,북구,노원동1가,대구광역시,TOP'S 농구교실,대구광역시 북구 침산남로7길 27(노원동1가),대구광역시 북구 노원동1가 94-3
