row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
38,폐업,수영장,광양시,중동,전라남도,광양청소년수련관수영장,전라남도 광양시 광장로 14 (중동),
39,폐업,수영장,제주시,,제주특별자치도,미래수영장,제주시 구남로 55 (이도이동),제주특별자치도 제주시 구남로 55
40,정상운영,수영장,성남시,,경기도,키즈스플래쉬,"성남시 분당구 대왕판교로 660, 지하1층 125-1호 (삼평동, 유스페이스1)",경기 성남시 분당구 대왕판교로 660
41,정상운영,수영장,구미시,노상리,경상북도,구미시 선산청소년수련관,경상북도 구미시 선산읍 단계동길 270,경상북도 구미시 선산읍 노상리 333-2 구미 청소년 수련관
42,,수영장,부천시,,경기도,파라디스포츠,부천시 오정구 고리울로 9(고강동 369번지),
43,정상운영,수영장,수원시,,경기도,광교웰빙국민체육센터,경기도 수원시 영통구 웰빙타운로 71 (이의동),경기도 수원시 영통구 이의동 1183 광교웰빙국민체육센터
44,정상운영,수영장,안양시,안양동,경기도,(주)원하비 밸런스 스위밍 랩,경기도 안양시 만안구 안양로329번길 108(안양동),경기도 안양시 만안구 안양동 900-10 안양월드
45,,수영장,안양시,석수동,경기도,(주)안양워터랜드,"경기도 안양시 만안구 예술공원로 153-32, 패미리월드G7 1층로비 지하2,3층 (석수동)",경기도 안양시 만안구 석수동 825-1 패미리월드G7 
46,정상운영,수영장,춘천시,퇴계동,강원도,케이에스씨수상안전교육센터(주),강원도 춘천시 솟발1길 4-33 (퇴계동),강원도 춘천시 퇴계동 493-18
47,정상운영,수영장,밀양시,,경상남도,밀양스포츠센터 수영장,밀양시 교동 1121-3,경남 밀양시 교동 1121-3
48,정상운영,수영장,화성시,,경기도,하비엘럭스,경기도 화성시 동탄순환대로 253 (산척동),경기도 화성시 산척동 724-2
49,정상운영,수영장,춘천시,,강원도,KSC키즈수상안전교육센터,강원도 춘천시 후석로 312 (후평동),강원도 춘천시 후평동 67-72 지하1층 
50,정상운영,수영장,김천시,삼락동,경상북도,김천실내수영장,경상북도 김천시 운동장길 1 (삼락동),경상북도 김천시 삼락동  488-1 김천종합스포츠타운
51,폐업,수영장,광양시,마동,전라남도,커뮤니티센터수영장,전라남도 광양시 중마로 410 (마동),
52,정상운영,수영장,남구,,인천광역시,미추홀구 국민체육센터,인천광역시 미추홀구 경인로42번길 57 (숭의동),인천광역시 미추홀구 숭의동 131-55 미추홀구 국민체육센터
53,정상운영,수영장,제주시,연동,제주특별자치도,제이풀,제주특별자치도 제주시 연화남길 22 (연동),제주특별자치도 제주시 연동 1382
54,정상운영,수영장,보은군,이평리,충청북도,보은국민체육센터,충청북도 보은군 보은읍 군청길 38-1,충청북도 보은군 보은읍 이평리 45-6 국민체육센타
55,정상운영,수영장,군산시,산월리,전라북도,대야국민체육센터수영장,전라북도 군산시 대야면 석화로 63-15,전라북도 군산시 대야면 산월리 795-1 군산국민체육센터
56,정상운영,수영장,양산시,석산리,경상남도,(수영장-02) 양산주민편익시설,경상남도 양산시 동면 강변로 264-1,경상남도 양산시 동면 석산리 652 주민편익시설
57,정상운영,수영장,송파구,잠실동,서울특별시,롯데호텔 실내수영장,서울특별시 송파구 올림픽로 240 (잠실동),
58,정상운영,수영장,서구,마전동,인천광역시,ATS스포츠센터-판다수영아카데미 검단점,인천광역시 서구 완정로34번길 57-21(마전동),인천광역시 서구 마전동 1005-6 올댓스윔
59,정상운영,수영장,나주시,빛가람동,전라남도,스피드인 스윔,"전라남도 나주시 빛가람로 838, 1층 (빛가람동)",전라남도 나주시 빛가람동 904 
60,정상운영,수영장,마포구,성산동,서울특별시,월드컵스파랜드24 수영장,서울특별시 마포구 월드컵로 240 (성산동),
61,정상운영,수영장,보령시,옥동리,충청남도,보령국민체육센터수영장,충청남도 보령시 남포면 보령남로 347,충청남도 보령시 남포면 옥동리 331-11
62,정상운영,수영장,동래구,,부산광역시,(주)케이비스포츠인재교육원,부산광역시 동래구 미남로 52(사직동),부산광역시 동래구 사직동 151-8 여고 플래티넘
63,정상운영,수영장,동구,효목동,대구광역시,아양아트센터실내수영장,대구광역시 동구 효동로2길 24 (효목동),대구광역시 동구 효목동  1084 아양아트센터
64,정상운영,수영장,사천시,,경상남도,(주)아빌라 더 오아시스,경상남도 사천시 해안관광로 68-20 (실안동),경상남도 사천시 실안동 962
65,정상운영,수영장,청주시,,충청북도,아쿠아펠리스 수영장,충청북도 청주시 서원구 예체로 23 (개신동),충청북도 청주시 서원구 개신동 436-4 개신동 상원빌딩
66,정상운영,수영장,안성시,,경기도,아쿠아필드,경기도 안성시 공도읍 서동대로 3930-39,경기도 안성시 공도읍 진사리 354 스타필드 안성
67,정상운영,수영장,남구,주월동,광주광역시,(주)어반수영장봉선점,광주광역시 남구 봉선로52번길 14(주월동),광주광역시 남구 주월동 1135-1
68,정상운영,수영장,세종시,명리,세종특별자치시,세종국민체육센터수영장,세종특별자치시 조치원읍 새내8길 115,세종특별자치시 조치원읍 명리 24-1 세종국민체육센터
69,정상운영,수영장,서구,치평동,광주광역시,제이에이치관광개발(주)(홀리데인광주호텔),광주광역시 서구 상무누리로 55 (치평동),광주광역시 서구 치평동 573-1 Holiday In Gwangju 호텔
70,정상운영,수영장,연수구,선학동,인천광역시,올림피아스포츠,"인천광역시 연수구 선학로 101 (선학동, 뉴서울1차아파트)",인천광역시 연수구 선학동 352 뉴서울1차아파트
71,정상운영,수영장,연수구,송도동,인천광역시,(주)송도아쿠아틱센터,"인천광역시 연수구 송도과학로27번길 15 (송도동, 송도아메리칸타운아이파크)",인천광역시 연수구 송도동 155 송도아메리칸타운아이파크
72,정상운영,수영장,시흥시,은행동,경기도,노블스위밍랩 by 키즈라이프,경기도 시흥시 은계남길 50 (은행동),경기도 시흥시 은행동 671-3 대화기공 주식회사
73,정상운영,수영장,용인시,상현동,경기도,(주)아이풀 수지점,경기도 용인시 수지구 수지로78번길 8 (상현동),경기도 용인시 수지구 상현동 99 벽산블루밍아파트
74,정상운영,수영장,안성시,,경기도,삼성어린이수영장,경기도 안성시 공도읍 정봉길 109,경기도 안성시 공도읍 양기리 521-32 
75,정상운영,수영장,고양시,,경기도,일산 산들 수영장,경기도 고양시 일산서구 고양대로 719-7 (일산동),경기도 고양시 일산서구 일산동 1681-4 
76,정상운영,수영장,중구,중산동,인천광역시,SD수영장,인천광역시 중구 하늘중앙로195번길 21(중산동),인천광역시 중구 중산동 1883-10
77,정상운영,수영장,춘천시,석사동,강원도,국민체육센터수영장,강원도 춘천시 우석로 102-3 (석사동),강원도 춘천시 석사동 산29-3
78,정상운영,수영장,속초시,조양동,강원도,속초국민체육센터,강원도 속초시 조양로 89 (조양동),강원도 속초시 조양동 1083 속초시도서체육센터
79,정상운영,수영장,고성군,송포리,강원도,국민체육센터(수영장),강원도 고성군 거진읍 자산천로 236,강원도 고성군 거진읍 송포리 634-1 고성국민체육센터
80,정상운영,수영장,청주시,학평리,충청북도,내수국민체육센터,충청북도 청주시 청원구 내수읍 청암로 91-4,충청북도 청주시 청원구 내수읍 학평리 141-28
81,폐업,수영장,충주시,봉방동,충청북도,충주수영장,충청북도 충주시 국원대로 35(봉방동),충청북도 충주시 봉방동 11-1
82,정상운영,수영장,군포시,,경기도,스포츠그린힐 수영장,군포시 산본로276(금정동),경기 군포시 산본로 276
83,,수영장,보은군,,충청북도,서당골관광농원수영장,보은군 마로면 임곡길 66-80,충북 보은군 마로면 임곡길 66-80
84,정상운영,수영장,화순군,신기리,전라남도,군민종합문화센터수영장,전라남도 화순군 화순읍 광덕로 231,
85,정상운영,수영장,창원시,도계동,경상남도,의창스포츠센터수영장,경상남도 창원시 의창구 원이대로56번길 11(도계동),경상남도 창원시 의창구 도계동 467 서부스포츠센터
86,정상운영,수영장,창원시,월영동,경상남도,마산합포스포츠센터수영장,경상남도 창원시 마산합포구 드림베이대로 56(월영동),경상남도 창원시 마산합포구 월영동 721 마산종합스포츠센터
87,정상운영,수영장,천안시,신부동,충청남도,유탑 주식회사(오션수영장),충청남도 천안시 동남구 단대1로 14 (신부동),충청남도 천안시 동남구 신부동 305-6
88,정상운영,수영장,평택시,비전동,경기도,헬로키즈풀,경기도 평택시 평택1로 48 (비전동),
89,정상운영,수영장,남원시,,전라북도,남원국민체육센터 수영장,전라북도 남원시 용성로 49 (동충동),전라북도 남원시 동충동 171-2 남원교육문화회관
90,정상운영,수영장,서귀포시,,제주특별자치도,(주)부영주택 제주부영호텔&리조트,서귀포시 중문관광로222,제주특별자치도 서귀포시 중문관광로 222
91,폐업,수영장,수원시,,경기도,수원청소년문화센터,경기도 수원시  팔달구 인계동 334-1번지,경기도 수원시  팔달구 인계동 334-1번지
92,정상운영,수영장,영암군,,전라남도,현대한마음회관 수영장,영암군 삼호읍 신항로 63-12,
93,정상운영,수영장,,갈산동,인천광역시,여성문화회관 수영장,인천광역시 부평구 길주로 539 (갈산동),
94,정상운영,수영장,여수시,,전라남도,바른수영,전라남도 여수시 여문1로 43-9 (여서동),전라남도 여수시 여서동 229-4
95,정상운영,수영장,북구,송정동,울산광역시,코리아 스포츠 그룹,울산광역시 북구 지당1길 29 (송정동),울산광역시 북구 송정동 772-1
96,정상운영,수영장,화성시,조암리,경기도,화성남부국민체육센터,경기도 화성시 우정읍 쌍봉로 93,경기도 화성시 우정읍 조암리 385-9
97,정상운영,수영장,진천군,교성리,충청북도,진천국민체육센터,충청북도 진천군 진천읍 문화로 69-11,충청북도 진천군 진천읍 교성리 74 진천국민체육센터
98,정상운영,수영장,양산시,주진동,경상남도,(수영장-03) 웅상문화체육센터,경상남도 양산시 모래들길 57-57(주진동),경상남도 양산시 주진동 72-6
99,정상운영,수영장,양산시,가촌리,경상남도,(수영장-04) 양산반다비체육센터,경상남도 양산시 물금읍 부산대학로 34,경상남도 양산시 물금읍 가촌리 1312-4 반다비 체육센터
100,정상운영,수영장,양산시,가촌리,경상남도,(수영장-01) 양산국민체육센터,경상남도 양산시 물금읍 청룡로 33,경상남도 양산시 물금읍 가촌리 990 국민체육센터
101,정상운영,수영장,양산시,석계리,경상남도,(수영장-05) 천성산국민체육센터,경상남도 양산시 상북면 삼계동길 25,경상남도 양산시 상북면 석계리 35-1
102,정상운영,수영장,창원시,양덕동,경상남도,블루몽 스윔,경상남도 창원시 마산회원구 팔용로 2(양덕동),경상남도 창원시 마산회원구 양덕동 51-5 신동학원
103,정상운영,수영장,서대문구,북가좌동,서울특별시,키즈 돌핀 아카데미,"서울특별시 서대문구 수색로 102 (북가좌동, DMC요진아파트)",서울특별시 서대문구 북가좌동 150 DMC요진아파트
104,정상운영,수영장,군포시,산본동,경기도,한숲스포츠수영센터,경기도 군포시 산본천로 43-6(산본동),경기도 군포시 산본동 1146 한숲 스포츠센타
105,정상운영,수영장,수원시,,경기도,장안구민회관푸르내수영장,조원동 888,경기 수원시 장안구 조원동 888
106,정상운영,수영장,구로구,신도림동,서울특별시,신도림생활체육관수영장,서울특별시 구로구 경인로67길 149 (신도림동),서울특별시 구로구 신도림동 324-4 신도림생활체육관
107,정상운영,수영장,제주시,,제주특별자치도,라온 아쿠아풀,제주시 한림읍 금능남로157,제주시 한림읍 금능남로157
108,정상운영,수영장,수원시,,경기도,(주)아이풀 권선점,수원시 권선구 동수원로 218-39 (권선동),경기 수원시 권선구 동수원로 218-39
109,정상운영,수영장,고양시,행신동,경기도,몬스터키즈풀,경기도 고양시 덕양구 중앙로 547 (행신동),경기도 고양시 덕양구 행신동 995-2
110,정상운영,수영장,오산시,오산동,경기도,오산스포츠센터수영장,경기도 오산시 경기동로 33 (오산동),경기도 오산시 오산동 40 오산스포츠센터
111,정상운영,수영장,김천시,,경상북도,대한키즈스윔스쿨 김천캠퍼스,경상북도 김천시 혁신3로 36(율곡동),경상북도 김천시 율곡동 801
112,정상운영,수영장,의정부시,,경기도,천보산 물사랑 수영장,경기도 의정부시 천보로 68(민락동),경기도 의정부시 민락동 805
