row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
519,정상운영,테니스장,관악구,,서울특별시,선우공원테니스장,,
520,정상운영,테니스장,화성시,,경기도,시청테니스장,남양동 2000,경기 화성시 남양읍 남양리 2000
521,정상운영,테니스장,청도군,동천리,경상북도,국민체육센터테니스장,경상북도 청도군 화양읍 청려로 1846,경상북도 청도군 화양읍 동천리 457
522,정상운영,테니스장,,,부산광역시,대저생태공원테니스장,,
523,정상운영,테니스장,달성군,달천리,대구광역시,다사체육공원테니스장,대구광역시 달성군 다사읍 다사로 441,
524,정상운영,테니스장,시흥시,매화동,경기도,매화동테니스장,경기도 시흥시 수인로 2918-1 (매화동),경기도 시흥시 매화동  106-2 금호스텐상사
525,정상운영,테니스장,수원시,,경기도,여기산공원테니스장,서둔동 259-5,서둔동 259-5
526,정상운영,테니스장,,,서울특별시,월드컵공원테니스장,,
527,정상운영,테니스장,창원시,,경상남도,도계체육공원테니스장,토월동 709,경남 창원시 성산구 토월동 709
528,정상운영,테니스장,해운대구,,부산광역시,반송3동테니스장,,
529,정상운영,테니스장,구로구,신정동,서울특별시,계남근린공원테니스장,"서울특별시 양천구 신정로 260 (신정동, 신트리4단지아파트)",서울특별시 양천구 신정동 1277 신트리4단지아파트
530,정상운영,테니스장,영월군,쌍용리,강원도,쌍용4리 테니스장,강원도 영월군 한반도면 쌍용로 172-4,강원도 영월군 한반도면 쌍용리 450-6
531,정상운영,테니스장,,우동,부산광역시,올림픽기념국민생활관,부산광역시 해운대구 APEC로 68 (우동),부산광역시 해운대구 우동  1127-37 부산사회체육센타
532,정상운영,테니스장,양평군,,경기도,청운레포츠공원테니스장,,
533,정상운영,테니스장,고흥군,용정리,전라남도,녹동테니스장,전라남도 고흥군 도양읍 우주항공로 229,전라남도 고흥군 도양읍 용정리 1168-31 체육시설
534,정상운영,테니스장,김해시,,경상남도,동부테니스장,,
535,정상운영,테니스장,당진시,,충청남도,순성체육공원테니스장,,
536,정상운영,테니스장,거제시,고현동,경상남도,양정테니스장,"경상남도 거제시 중곡로2길 12 (고현동, 고려6차아파트)",
537,정상운영,테니스장,익산시,부송동,전라북도,문화체육센터테니스장,전라북도 익산시 선화로 823 (부송동),
538,정상운영,테니스장,강서구,대저2동,부산광역시,덕두테니스장,,부산 강서구 대저2동 2651
539,정상운영,테니스장,강동구,,서울특별시,강일테니스장,,
540,정상운영,테니스장,영덕군,화개리,경상북도,영덕군민테니스장,경상북도 영덕군 영덕읍 경동로 8338,
541,정상운영,테니스장,철원군,,강원도,오지리테니스장,강원 철원군 동송읍 오지리 1031-3,강원 철원군 동송읍 오지리 1031-3
542,정상운영,테니스장,용인시,,경기도,동백테니스장,동백동 589,경기 용인시 기흥구 동백동 589
543,정상운영,테니스장,칠곡군,남율리,경상북도,칠곡석적테니스장,경상북도 칠곡군 석적읍 석적로 933-9,경상북도 칠곡군 석적읍 남율리 710
544,정상운영,테니스장,계양구,서운동,인천광역시,계양테니스장,인천광역시 계양구 봉오대로 855 (서운동),인천광역시 계양구 서운동 110 계양경기장
545,정상운영,테니스장,파주시,,경기도,통일공원테니스장,파주읍 봉서리 산42,경기 파주시 파주읍 봉서리 산 42
546,정상운영,테니스장,양평군,,경기도,강상테니스장,,
547,정상운영,테니스장,철원군,육단리,강원도,근남테니스장,강원도 철원군 근남면 하오재로 1998,강원도 철원군 근남면 육단리 176-8
548,폐업,테니스장,합천군,,경상남도,율곡영전수변공원테니스장,경남 합천군 율곡면 영전리 786-1,경남 합천군 율곡면 영전리 786-1
549,정상운영,테니스장,횡성군,,강원도,섬강테니스장,,명륜동 313번지
550,정상운영,테니스장,화성시,,경기도,동탄센트럴파크테니스장,반송동 59,경기 화성시 반송동 59
551,정상운영,테니스장,강서구,,서울특별시,구립테니스장,방화동 36-14 일대,서울 강서구 방화동 36-14
552,정상운영,테니스장,원주시,,강원도,백운테니스장,,흥업면 흥업리 768 외16번지
553,폐업,테니스장,강동구,,서울특별시,강동테니스장,상일동 135,서울 강동구 상일동 135
554,정상운영,테니스장,합천군,,경상남도,초계테니스장,경남 합천군 초계면 초계리 139-5,경남 합천군 초계면 초계리 139-5
555,정상운영,테니스장,창원시,,경상남도,반지어울림운동장테니스장,,
556,폐업,테니스장,고양시,,경기도,벽제배수지테니스장,벽제동 산 43-32,
557,정상운영,테니스장,횡성군,,강원도,둔내테니스장,,
558,정상운영,테니스장,여수시,문수동,전라남도,여문테니스장,전라남도 여수시 문수로 53-32 (문수동),전라남도 여수시 문수동  169 여수환경도서관
559,정상운영,테니스장,진안군,봉학리,전라북도,정천테니스장,전라북도 진안군 정천면 봉학로 66,전라북도 진안군 정천면 봉학리 547 정천면사무소
560,정상운영,테니스장,고양시,,경기도,토당제2근린공원테니스장,토당동 3-39,경기 고양시 덕양구 토당동 3-39
561,정상운영,테니스장,진안군,,전라북도,백운테니스장,,
562,정상운영,테니스장,화성시,,경기도,송산테니스장,송산면 사강리 365-5,경기 화성시 송산면 사강리 365-5
563,정상운영,테니스장,창원시,,경상남도,마산종합운동장테니스장,양덕동477,경남 창원시 마산회원구 양덕동 477
564,정상운영,테니스장,당진시,,충청남도,우강체육공원테니스장,,
565,정상운영,테니스장,시흥시,거모동,경기도,군자동테니스장,경기도 시흥시 군자로534번길 19 (거모동),경기도 시흥시 거모동  1632-20
566,정상운영,테니스장,남동구,,인천광역시,늘솔길근린공원테니스장,,
567,정상운영,테니스장,함안군,,경상남도,함안군환경기초시설테니스장,,
568,정상운영,테니스장,광산구,안청동,광주광역시,안청공원테니스장,광주광역시 광산구 하남산단9번로 62 (안청동),광주광역시 광산구 안청동 736-1
569,정상운영,테니스장,해운대구,,부산광역시,센텀테니스장,,
570,정상운영,테니스장,남구,,울산광역시,야음테니스장,야음동 45,울산 남구 야음동 45
571,정상운영,테니스장,정읍시,구석리,전라북도,신태인테니스장,전라북도 정읍시 신태인읍 정신로 1056,
572,정상운영,테니스장,포항시,상도동,경상북도,뱃머리테니스장,경상북도 포항시 남구 뱃머리길 50 (상도동),경상북도 포항시 남구 상도동  131 뱃머리테니스장
573,정상운영,테니스장,창원시,회성동,경상남도,회성동테니스장,경상남도 창원시 마산회원구 회성남20길 78 (회성동),
574,정상운영,테니스장,양구군,하리,강원도,양구초롱이테니스장,강원도 양구군 양구읍 함춘로 102,강원도 양구군 양구읍 하리 439
575,정상운영,테니스장,옹진군,시도리,인천광역시,북도면체육시설테니스장,인천광역시 옹진군 북도면 시도로86번길 78,
576,정상운영,테니스장,,,서울특별시,중랑물재생센터테니스장,,
577,정상운영,테니스장,,당월리,울산광역시,온산수질개선사업소테니스장,울산광역시 울주군 온산읍 당월로 118,울산광역시 울주군 온산읍 당월리 229-1
