row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
66,정상운영,축구,고양시,,경기도,라보나필드,경기도 고양시 일산동구 산황로 178-77(산황동),경기도 고양시 일산동구 산황동 630-3
67,정상운영,축구장,하동군,송문리,경상남도,금남생활체육공원,경상남도 하동군 금남면 미법마을길 3,경상남도 하동군 금남면 송문리 873
68,폐업,축구,오산시,,경기도,제이앤에스(J&S) 풋볼 아카데미,경기도 오산시 수청로50번길 25-5(내삼미동),경기도 오산시 내삼미동 854-1
69,정상운영,축구,청주시,,충청북도,올풋키즈풋볼,충청북도 청주시 청원구 공항로220번길 76(주중동),충청북도 청주시 청원구 주중동 569-11
70,정상운영,축구,동구,가오동,대전광역시,제이스 풋살 아카데미,,대전 동구 가오동 7-9
71,정상운영,축구,평택시,합정동,경기도,김병수축구아카데미,경기도 평택시 평택5로 30 (합정동),경기도 평택시 합정동 968-1 롯데마트 평택점
72,정상운영,축구,고양시,성석동,경기도,고양축구교실,"경기도 고양시 일산동구 중산로 235, B101호 (중산동)",경기도 고양시 일산동구 중산동 1562-1 B101호
73,정상운영,축구장,광양시,광영동,전라남도,광영축구장,전라남도 광양시 광영의암1로 17(광영동),전라남도 광양시 광영동 1089
74,정상운영,축구,북구,산하동,울산광역시,퍼스트원FC,울산광역시 북구 산하중앙1로 131(산하동),울산광역시 북구 산하동 31
75,정상운영,축구,중구,,서울특별시,파시온FC 동화점,서울특별시 중구 다산로36길 101(신당동),서울특별시 중구 신당동 41-52
76,정상운영,축구,화성시,,경기도,MYFC축구교실,"경기도 화성시 수노을중앙로 156, 폴리프라자 801~804호 (새솔동)",경기도 화성시 새솔동 76-12 
77,정상운영,축구,김포시,마산동,경기도,파파FC,경기도 김포시 김포한강8로148번길 5(마산동),경기도 김포시 마산동 650-3
78,정상운영,축구,구로구,고척동,서울특별시,서울스포트리,서울특별시 구로구 경인로 403(고척동),서울특별시 구로구 고척동 76-38 원메디타운
79,정상운영,축구,파주시,야당동,경기도,에이치알 레포츠 센터,경기도 파주시 송학1길 67-31(야당동),경기도 파주시 야당동 421-20
80,정상운영,축구,수영구,민락동,부산광역시,제이엠 에프씨,부산광역시 수영구 광안해변로344번길 9-15(민락동),부산광역시 수영구 민락동 110-36 월드비치빌
81,정상운영,축구,광산구,월곡동,광주광역시,월곡FC U-12,광주광역시 광산구 월곡산정로 107(월곡동),광주광역시 광산구 월곡동 588 월곡초등학교
82,정상운영,축구,안양시,관양동,경기도,UK EnC 축구클럽 안양센터,경기도 안양시 동안구 관평로319번길 29(관양동),경기도 안양시 동안구 관양동 1389-4
83,정상운영,축구,군포시,부곡동,경기도,빌드업 풋볼 클럽,경기도 군포시 군포첨단산업2로7번길 8(부곡동),경기도 군포시 부곡동 1246 군포 에이스 더블유밸리
84,정상운영,축구장,이천시,도암리,경기도,이천선수촌 뇌성축구장,경기도 이천시 신둔면 석동로 167,
85,정상운영,축구,전주시,중화산동2가,전라북도,H.V 스포츠클럽,전라북도 전주시 완산구 중화산로 74(중화산동2가),전라북도 전주시 완산구 중화산동2가 613-5
86,정상운영,축구,창원시,중동,경상남도,USA 스포츠 축구교실 유니시티점,경상남도 창원시 의창구 중동중앙로 47(중동),경상남도 창원시 의창구 중동 784-1 어반브릭스
87,정상운영,축구,양주시,,경기도,양주FSC축구센터,경기도 양주시 고읍남로 46(광사동),경기도 양주시 광사동 714
88,정상운영,축구,양주시,,경기도,디원(D.ONE),경기도 양주시 은현면 화합로1080번길 174,경기도 양주시 은현면 용암리 856-1
89,정상운영,축구,용인시,,경기도,훼밀리월드,경기도 용인시 수지구 대지로15번길 88-1(죽전동),경기도 용인시 수지구 죽전동 581-6 파인창고
90,정상운영,축구,용인시,,경기도,(주)탑스포츠클럽,경기도 용인시 수지구 성복2로 291(성복동),경기도 용인시 수지구 성복동 526-1
91,정상운영,축구장,서구,백석동,인천광역시,"수도권매립지관리공사 2,3 축구장",인천광역시 서구 거월로 61 (백석동),인천광역시 서구 백석동 58 수도권매립지공사
92,정상운영,축구장,양산시,호계동,경상남도,(축구장-11) 삼성체육공원,경남 양산시 호계동 665,경남 양산시 호계동 665
93,정상운영,축구장,서구,백석동,인천광역시,수도권매립지관리공사 1 축구장,인천광역시 서구 거월로 61 (백석동),인천광역시 서구 백석동 58 수도권매립지공사
94,정상운영,축구,연수구,연수동,인천광역시,Fun Kids 스포츠 아카데미,인천광역시 연수구 새말로107번길 16(연수동),인천광역시 연수구 연수동 577 영남스포츠센터
95,정상운영,축구,안양시,안양동,경기도,SN축구클럽,경기도 안양시 만안구 안양로329번길 108(안양동),경기도 안양시 만안구 안양동 900-10 안양월드
96,정상운영,축구장,의정부시,,경기도,곤제축구장,의정부시 송현로 125,경기 의정부시 송현로 125
97,정상운영,축구,증평군,,충청북도,증평 HIVE 풋볼 아카데미,충청북도 증평군 증평읍 삼보로 89,충청북도 증평군 증평읍 초중리 40-15
98,정상운영,축구,강서구,,서울특별시,리핏 스포츠,서울특별시 강서구 남부순환로19길 48-37(외발산동),서울특별시 강서구 외발산동 225-10 금만물산
99,폐업,축구,파주시,동패동,경기도,문산축구교실,경기도 파주시 미래로 369-59(동패동),경기도 파주시 동패동 1761-6
100,정상운영,축구,천안시,성성동,충청남도,훈축구교실(천안),충청남도 천안시 서북구 성성8로 2-40(성성동),충청남도 천안시 서북구 성성동 671
101,정상운영,축구,북구,,울산광역시,제이에이치 풋볼아카데미,울산광역시 북구 신기9길 21 (매곡동),울산광역시 북구 매곡동 919-1
