addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,faci_mng_type_cd,reg_dt,inout_gbn_nm,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_reg_ymd,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경기도","N","417호 (보정동, 죽전누리에뜰)",231,"20221222","정상운영","","2023-03-16","없음","16897",796,"417호 (보정동, 죽전누리에뜰)","","체력단련장","용인시","보정동","용인시 기흥구","16897","","2023-03-16","신고","경기도","카인드짐 24시 휘트니스&스쿼시 보정점","경기도 용인시 기흥구 죽전로 20(보정동, 죽전누리에뜰)","Y","체력단련장업","경기도 용인시 기흥구 보정동 1263 죽전누리에뜰"
"경기도","N","흥덕노블레스 207호 (영덕동)",232,"20221206","정상운영","","2023-03-16","없음","16953",120,"흥덕노블레스 207호 (영덕동)","","체력단련장","용인시","영덕동","용인시 기흥구","16953","","2023-03-16","신고","경기도","이루리핏","경기도 용인시 기흥구 흥덕중앙로 59(영덕동)","Y","체력단련장업","경기도 용인시 기흥구 영덕동 975-7 용인흥덕노블레스흥덕노블레스"
"경기도","N","401,402호 (마북동,리딩프라자)",233,"20071205","정상운영","","2023-03-16","없음","16917",562,"401,402호 (마북동,리딩프라자)","","체력단련장","용인시","마북동","용인시","16917","","2023-03-16","신고","경기도","조이휘트니스센터","경기도 용인시 기흥구 구성로39번길 3(마북동)","Y","체력단련장업","경기도 용인시 기흥구 마북동 331-1 리딩프라자"
"경기도","N","",234,"20051214","정상운영","자체운영        ","2017-11-09","실내외","17528",462,"","ntix2Nh1QXGpNyoeXiTwDdME2/DIgh6Yc2FhSGHSzJo=","체력단련장","안성시","산북리","안성시","17528","","2023-03-16","신고","경기도","운현정스포츠센터","경기도 안성시 일죽면 산북1길 27","Y","체력단련장업","경기도 안성시 일죽면 산북리 184-1"
"","N","",235,"20161231","정상운영","","2016-12-31","실내","","","","t0J3on7gwDHVb7/WhmKxddMXRJsnQwG92r56FDyiQGI=","체력단련장","순천시","","","","","2023-03-16","신고","전라남도","스포타임","전라남도 순천시 전라남도 순천시 시민로 ","Y","체력단련장업","전라남도 순천시 전라남도 순천시 시민로 "
"경상북도","N","",236,"20151026","정상운영","자체운영        ","2016-12-31","실내","39336",450,"(사곡동)","PIJzGx24CWZQiRKYrEG3/Xv4ZxWufpl+rQlaDKE4eis=","체력단련장","구미시","","구미시","39336","20151026","2023-04-27","신고","경상북도","Jun 헬스 클럽","경상북도 구미시 상사동로 110 (사곡동)","Y","체력단련장업","경상북도 구미시 사곡동 703-1 "
"경상남도","N","",237,"20230210","정상운영","","2023-03-21","없음","52565",196,"2층 (향촌동)","","체력단련장","사천시","","사천시","52565","","2023-03-21","신고","경상남도","굿무브짐","경상남도 사천시 남일로 96(향촌동)","Y","체력단련장업","경상남도 사천시 향촌동 1115-4"
"대구광역시","N","바른등빌딩",238,"20230420","정상운영","","2023-05-01","없음","42037",365,"바른등빌딩 2층 (만촌동)","","체력단련장","수성구","","수성구","42037","","2023-05-01","신고","대구광역시","메이저 짐","대구광역시 수성구 화랑로 98 (만촌동)","Y","체력단련장업","대구광역시 수성구 만촌동 1327-8 바른등빌딩"
"인천광역시","N","305, 306호",239,"20220908","정상운영","","2022-11-16","실내","22762",258,"305, 306호","h7eE419dcZ0CQRRNgr4Jd06vvfOfXUkIqnecNp44tIQ=","체력단련장","서구","","서구","22762","","2023-04-11","신고","인천광역시","바인스짐","인천광역시 서구 청라커낼로260번길 11(청라동)","Y","체력단련장업","인천광역시 서구 청라동 158-1 진성프라자"
"경기도","N","",240,"20230316","정상운영","","2023-04-13","없음","18504",128,"","","체력단련장","화성시","","화성시","18504","","2023-04-13","신고","경기도","동기부여짐","경기도 화성시 동탄대로4길 136-14 (장지동)","Y","체력단련장업","경기도 화성시 장지동 1005-1"
