addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경기도","N","",17,"20210610","정상운영","2021-06-16","없음","0","12991",330,"(감북동)","bh2/au3lJuE4R35wY2ThvdFTkxq4hdNipVa0XcSzpW4=","배드민턴","하남시","","하남시","12991","0","2021-06-16","신고","경기도","스킬턴","경기도 하남시 서하남로43번길 105 (감북동)","Y","체육교습업","경기도 하남시 감북동 227-1"
"충청남도","N","",18,"20210720","정상운영","2021-08-03","실내","36.1642005154903","33001",499,"","XTflj8rpjeLhbwKLZo/L0/kCJC+G+vg3tfKyl5b/sU4=","배드민턴","논산시","연서리","논산시","33001","127.10658325515","2021-08-03","신고","충청남도","테크존 배드민턴센터","충청남도 논산시 은진면 매죽헌로25번길 39","Y","체육교습업","충청남도 논산시 은진면 연서리 89-1"
"충청남도","N","",19,"20210625","정상운영","2021-08-31","없음","36.4424075555633","32603",495,"(금학동)","NCbV4Qn2DIM/cOpmXPywE91axcioQ5KMnO9buDfQlR8=","배드민턴","공주시","","공주시","32603","127.127466185383","2021-08-31","신고","충청남도","장안스포츠센터","충청남도 공주시 원댕이길 6(금학동)","Y","체육교습업","충청남도 공주시 금학동 75-1"
"인천광역시","N","",20,"20210216","정상운영","2021-09-14","실내","37.5938855230445","",435,"","OIAtnuGq7++JSyx7bbSqGBNmRoBfrIzO/bBbgEuR7n8=","배드민턴","서구","오류동","서구","","126.623558014722","2023-03-06","신고","인천광역시","로열 배드민턴 센터","","Y","체육교습업","인천 서구 오류동 391-2"
"울산광역시","N","",21,"20210927","정상운영","2021-09-28","실내","35.587911825696","44902",546,"","5T7Pviqmdu8Nw2BNAoajsVfm9c51y9e8iLgQyEfCTJY=","배드민턴","울주군","산전리","울주군","44902","129.092749723912","2021-09-28","신고","울산광역시","투게더 배드민턴 센터","울산광역시 울주군 상북면 상북로 249-1","Y","체육교습업","울산광역시 울주군 상북면 산전리 425"
"울산광역시","N","",22,"20210812","정상운영","2021-08-19","없음","35.6485920812219","44215",1470,"","MWcfWZkI86s4j1j5+ykMp8JEyt9DRBHaut0R3JNE9yY=","배드민턴","북구","중산동","북구","44215","129.347325460354","2022-09-23","신고","울산광역시","온리스포츠 배드민턴센터","울산광역시 북구 약수4길 20(중산동)","Y","체육교습업","울산광역시 북구 중산동 929-4"
"울산광역시","N","",23,"20211014","정상운영","2021-10-18","없음","35.436236781803","45004",696,"","GmzOCDu6FSdfaYh8aQ/4eCkRoPUKrrmB4IET+qnz414=","배드민턴","울주군","덕신리","울주군","45004","129.298962605126","2022-01-01","신고","울산광역시","하이클래스 센터","울산광역시 울주군 온산읍 덕동길 39","Y","체육교습업","울산광역시 울주군 온산읍 덕신리 921"
"경기도","N","",24,"20211124","정상운영","2021-12-17","실내","0","18357",451,"(송산동)","/peDeD6t9DAY2RBdgNTx+RoV1TUD8QnSLS279+l1ThM=","배드민턴","화성시","","화성시","18357","0","2022-11-04","신고","경기도","온앤오프스포츠","경기도 화성시 화산로45번길 5(송산동)","Y","체육교습업","경기도 화성시 송산동 163-19"
"경기도","N","",25,"20211105","정상운영","2021-11-25","없음","0","10045",495,"가동","Op8XXFFs8PSIN1xApP2aLJfAci73v9BJxWrlHm9ov8I=","배드민턴","김포시","","김포시","10045","0","2021-11-25","신고","경기도","뉴팬덤스포츠","경기도 김포시 양촌읍 김포한강10로133번길 51","Y","체육교습업","경기도 김포시 양촌읍 유현리 20-1"
"경기도","N","",26,"20211124","정상운영","2021-12-17","실내","37.135650347272","18515",494,"","huFOoEDf8ckAWCmENHlpQuYNWnN6VJSdCqcQ6a1iRbY=","배드민턴","화성시","덕절리","화성시","18515","127.031554483892","2022-11-04","신고","경기도","민턴랩배드민턴아카데미","경기도 화성시 정남면 발안로 1191-8","Y","체육교습업","경기도 화성시 정남면 덕절리 13"
