addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,ftype_nm,cpb_nm,addr_emd_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경상북도","N","",21,"20220418","정상운영","2023-02-07","없음","36.4225627131354","37169",253,"","권투","상주시","무양동","37169","128.156584838381","2023-02-07","신고","경상북도","상주복싱헬스","경상북도 상주시 동수3길 99(무양동)","Y","체육도장업","경상북도 상주시 무양동 174"
"서울특별시","N","",22,"20210910","정상운영","2022-03-15","없음","37.6018831159061","02816",125,"2층 (정릉동)","권투","성북구","","02816","127.018652816859","2023-01-29","신고","서울특별시","위복싱짐","서울특별시 성북구 정릉로38길 8(정릉동)","Y","체육도장업","서울특별시 성북구 정릉동 16-202"
"경기도","N","승원빌딩 3층",23,"20221014","정상운영","2022-12-22","없음","0","11777",198,"승원빌딩 3층 (신곡동)","권투","의정부시","","11777","0","2023-03-15","신고","경기도","슈가복싱","경기도 의정부시 추동로 95(신곡동)","Y","체육도장업","경기도 의정부시 신곡동 757-8 승원빌딩"
"전라북도","N","",24,"20191010","정상운영","2019-12-05","없음","35.7993106407161","55079",248,"","권투","전주시","효자동2가","55079","127.10804533247","2023-05-03","신고","전라북도","복싱 사관학교","전라북도 전주시 완산구 효천중앙로 57 (효자동2가)","Y","체육도장업","전라북도 전주시 완산구 효자동2가 1377 모악빌딩"
"대전광역시","N","",25,"20230126","정상운영","2023-02-15","없음","36.3220788042609","34909",0,"","권투","중구","오류동","34909","127.409838678717","2023-02-15","신고","대전광역시","용인대 엘리트복싱 체육관","대전광역시 중구 계백로 1715(오류동)","Y","체육도장업","대전광역시 중구 오류동 154-6"
"경기도","N"," 힐프라자 201호",26,"20210108","정상운영","2021-01-11","없음","37.3099478896842","16857",192," 힐프라자 201호","권투","용인시","상현동","16857","127.07598195304","2023-02-15","신고","경기도","케이앤비체육관","경기도 용인시 수지구 수지로 77 (상현동)","Y","체육도장업","경기도 용인시 수지구 상현동 106-8 힐프라자"
"경기도","N","",27,"20210930","정상운영","2021-10-11","실내","37.4190045099071","12739",398,"","권투","광주시","송정동","12739","127.257996676697","2023-02-15","신고","경기도","용인대 원탑유도센터","경기도 광주시 송정로 7(송정동)","Y","체육도장업","경기도 광주시 송정동 139-9"
"인천광역시","N","연수프라자 3층 305호 (연수동)",28,"20220719","정상운영","2023-04-05","없음","37.4140534833766","21927",146,"연수프라자 3층 305호 (연수동)","권투","연수구","연수동","21927","126.676714690653","2023-04-05","신고","인천광역시","복싱DAY","인천광역시 연수구 먼우금로 190 (연수동)","Y","체육도장업","인천광역시 연수구 연수동 597-4 연수프라자"
"경기도","N","밀래니엄프라자 4층 405호 (매탄동)",29,"20220705","정상운영","2022-07-21","없음","37.2591165009604","16545",130,"밀래니엄프라자 4층 405호 (매탄동)","권투","수원시","매탄동","16545","127.044694930826","2023-04-28","신고","경기도","매탄 타이혼","경기도 수원시 영통구 효원로 393(매탄동)","Y","체육도장업","경기도 수원시 영통구 매탄동 1267-5 밀래니엄프라자"
"경기도","N","403호",30,"20230330","정상운영","2023-04-05","실내","37.6489348671877","10585",174,"","권투","고양시","지축동","10585","126.915134614197","2023-04-05","신고","경기도","모던복싱클럽 지축","경기도 고양시 덕양구 지축1로 69 (지축동)","Y","체육도장업","경기도 고양시 덕양구 지축동 1007-2 공감타워"
