addr_ctpv_nm,nation_yn,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,sdwn_ymd,faci_gfa,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"","N",254,"20030221","폐업","2017-09-07","","37.5786868444","","20230428","","RLnfVUrR4WJ2mYzTqfnhv6hyfNgYZiDWXxibQRgIMCo=","태권도","남양주시","","","","127.215336067","2023-04-29","신고","경기도","라이온즈태권도장","경기도 남양주시 경기도 남양주시 와부읍 도곡리 986-1번지 두산위즈아파트 상가 501","Y","체육도장업","경기도 남양주시 경기도 남양주시 와부읍 도곡리 986-1번지 두산위즈아파트 상가 501"
"경기도","N",255,"20070410","정상운영","2016-12-31","실내","37.3113592452","426210","",132,"dvJ/rY1+oRjL0uVqHTaQJ/hv85pNiysJxw7t5DCxhKM=","태권도","안산시","","안산시","426210","126.905134299","2023-04-29","신고","경기도","1등 석사경희대태권도장"," 경기도 안산시 상록구 건건8길 2, 4층 (건건동, 건건 e-편한세상 주상가동) ","Y","체육도장업","경기 안산시 상록구 건건8길 2"
"","N",256,"20161231","정상운영","2016-12-31","실내","34.9479917664","","",100,"re3DfU0zbj8atfSVuXDsgiacBfvdiBNN01Mjv8Q6nVc=","태권도","순천시","","","","127.518821089","2023-03-04","신고","전라남도","연향 한빛 태권도장","전라남도 순천시 전라남도 순천시 연향2로","Y","체육도장업","전라남도 순천시 전라남도 순천시 연향2로"
"전라남도","N",257,"20000420","정상운영","2016-12-31","실내","34.8119200149","530370","","","uyOFUL8y5JnqSyWieu+ouCfkoj5AcvRK/3B0dbhkOJg=","태권도","목포시","","목포시","530370","126.381292429","2023-03-04","신고","전라남도","탑 태권도"," 목포시 원산중앙로 96 (연산동)","Y","체육도장업","전남 목포시 원산중앙로 96"
"","N",258,"20161107","정상운영","2016-11-07","실내","37.4996164902","135969","",122,"eGb4qC9bebw+v29DG1+NadH4hcegSVtqsBAWmKNImnI=","태권도","강남구","","","135969","127.065917338","2023-05-08","신고","서울특별시","은마체육관","서울특별시 강남구 삼성로 212 (대치동,은마상가 318호)","Y","체육도장업","서울 강남구 삼성로 212"
"서울특별시","N",259,"20161231","정상운영","2016-12-31","없음","37.4641251091","137140","",125,"yiW5hmbZ4ln66ycI9DPIuIY0hH7R8b5YRpJr4KfjGf8=","태권도","서초구","","서초구","137140","127.025785673","2023-05-08","신고","서울특별시","렛츠펀 태권짐","서울특별시 서초구 태봉로2길 65 (우면동, 서초네이처힐4단지 상가 201호)","Y","체육도장업","서울 서초구 태봉로2길 65"
"부산광역시","N",260,"20191230","폐업","2020-01-02","없음","35.12337709539186","48539","20230303",157,"","태권도","남구","","남구","48539","129.08901883311378","2023-03-04","신고","부산광역시","석포키즈태권도","부산광역시 남구 홍곡로 345 (대연동)","Y","체육도장업","부산광역시 남구 대연동 1170-120 참사랑교회"
"경기도","N",261,"20051214","정상운영","2016-12-31","없음","37.3095433722","425874","",12294,"F8ECg6NoTBiF7SeZ0bUHD90qn/1L5FM4vNnLTMhs8AI=","태권도","안산시","","안산시","425874","126.819058373","2023-03-10","신고","경기도","한양대왕호태권도장"," 경기도 안산시 단원구 광덕2로 74, 상가동 204호 (초지동, 주공12단지) ","Y","체육도장업","경기 안산시 단원구 광덕2로 74"
"","N",262,"20060919","정상운영","2016-12-31","실내","36.0655504816","718841","",438,"8KpKEy4lqf/wm2ofw585mmvItCPialz6jIFILRS5104=","태권도","칠곡군","","","718841","128.334447246","2023-03-17","신고","경상북도","북삼키즈태권도 체육관","칠곡군 북삼읍 안산2길 19-7","Y","체육도장업","경북 칠곡군 북삼읍 안산2길 19-7"
"","N",263,"19970616","정상운영","2016-12-31","실내","","53246","",301,"KEulcLdxqboOvs4mr7O8AU1tmtwQJCJZgau3EExwTRU=","태권도","거제시","","","53246","","2023-04-07","신고","경상남도","푸른나래 태권도장","경상남도 거제시 중곡로 40, 상가동 410호 (고현동, 덕산베스트타운)","Y","체육도장업","경상남도 거제시 고현동 1039 덕산1차상가 410호,411호,412호 "
"경상남도","N",264,"20110610","정상운영","2016-12-31","실내","","52859","",210,"CzWtL2CTRWzQweMP12YXzr+d8wK0ctGXafBCuqHdC2E=","태권도","진주시","","진주시","52859","","2023-04-22","신고","경상남도","우정태권도장","경상남도 진주시 범골로54번길 11, 5층 (충무공동)","Y","체육도장업","경상남도 진주시 충무공동 82-5 "
"강원도","N",265,"20210128","정상운영","2021-07-28","없음","37.6188491805681","25108","",84,"c3k9Z8F3erjnDL7b7vwXfyDSTsyN2p4BuGEy582NBr8=","태권도","홍천군","","홍천군","25108","127.767934960505","2023-03-17","신고","강원도","용인대 블랙벨트 동그라미 태권도장","강원도 홍천군 남면 양덕원로 105","N","체육도장업","강원도 홍천군 남면 양덕원리 259-13"
"대전광역시","N",266,"20200514","정상운영","2023-03-17","없음","36.3314254651422","35311","",104,"","태권도","서구","","서구","35311","127.388381387955","2023-03-17","신고","대전광역시","아랑태권도","대전광역시 서구 가장로 144(가장동)","Y","체육도장업","대전광역시 서구 가장동 48-5"
"부산광역시","N",267,"20060720","정상운영","2017-09-07","실내","35.087794931","","",89,"dv38L8nS3Ohnf4fX61exHaZg+OQG+oj+CD0gTadcEk0=","태권도","영도구","","영도구","","129.064863562","2023-03-17","신고","부산광역시","KOREA 태권도","부산광역시 영도구 부산광역시 영도구 일산봉로 64","Y","체육도장업","부산광역시 영도구 부산광역시 영도구 일산봉로 64"
"경기도","N",268,"20221221","정상운영","2023-02-07","없음","0","12284","",21,"","태권도","남양주시","","남양주시","12284","0","2023-02-07","신고","경기도","다산주짓수종합격투기MMA태권도","경기도 남양주시 다산지금로 131(다산동)","Y","체육도장업","경기도 남양주시 다산동 6216-2 다산지금지구 근생8-3"
"경기도","N",269,"20220128","정상운영","2022-03-14","없음","37.7109672225515","10888","",274,"VjBmAtoiHM39R6JgWWvpZT0NvmC7BN871aUwlkQPkcg=","태권도","파주시","","파주시","10888","126.71951079083","2023-02-10","신고","경기도","운정 태권도장","경기도 파주시 초롱꽃로 130(동패동, 파주운정신도시 디에트르 더 퍼스트)","Y","체육도장업","경기도 파주시 동패동 533-1 파주운정신도시 디에트르 더 퍼스트"
"경기도","N",270,"20230102","정상운영","2023-02-10","없음","37.6766957571688","10381","",603,"","태권도","고양시","","고양시","10381","126.747186167793","2023-02-10","신고","경기도","한빛 태권도","경기도 고양시 일산서구 중앙로 1576(대화동)","Y","체육도장업","경기도 고양시 일산서구 대화동 2205 태진프라자"
"인천광역시","N",271,"20161222","정상운영","2016-12-22","실내","37.52767359245085","22740","",100,"iG6WTAQT73ml/d42aZduwBUCgPMD5rybtCDrY0CgpmA=","태권도","서구","","서구","22740","126.65706762646815","2023-02-10","신고","인천광역시","경희대 초은 태권도장","인천광역시 서구 청라에메랄드로 30 (청라동, 청라자이)","Y","체육도장업","인천광역시 서구 청라동 193-1 청라자이"
"","N",272,"20041125","정상운영","2016-11-07","실내","","46920","",263,"YqySJRMx/xG5qG0XOjedJpW8ipVHXaU2BnSZH6t/LhE=","태권도","사상구","","","46920","","2023-02-11","신고","부산광역시","김대현태권도체육관","부산광역시 사상구 사상로 476, 명진빌딩 3층 (모라동)","Y","체육도장업","부산광역시 사상구 모라동 841-1 명진빌딩 "
"세종특별자치시","N",273,"20230310","정상운영","2023-03-18","실내","36.486072150969","30126","",172,"","태권도","세종시","새롬동","세종시","30126","127.250314741762","2023-03-18","신고","세종특별자치시","새롬 서창 K-타이거즈","세종특별자치시 새롬중앙로 59(새롬동)","Y","체육도장업","세종특별자치시 새롬동 583 새롬빌딩"
"대구광역시","N",274,"20171220","정상운영","2018-10-22","실내","","41401","",195,"ikKTNysUtUiNourlUkW+uxa5Y42GEnYucwvnHyNYki8=","태권도","북구","읍내동","북구","41401","","2023-02-18","신고","대구광역시","계명대 밝은빛아이 태권도장","대구광역시 북구 칠곡중앙대로126길 25, 2층 (읍내동)","Y","체육도장업","대구광역시 북구 읍내동 445-1 2층 "
"인천광역시","N",275,"20220523","정상운영","2022-06-17","실내","37.4773624178746","21443","",193,"SbIdaqCXAiEU9kf/1LYkzAgGdnpP0ZPmDofogHewLdE=","태권도","부평구","십정동","","21443","126.700993091846","2023-02-18","신고","인천광역시","더샵용인대석사정무태권도장","인천광역시 부평구 열우물로 90(십정동, 더샵부평센트럴시티)","Y","체육도장업","인천광역시 부평구 십정동 289-8 더샵부평센트럴시티"
"인천광역시","N",276,"20171204","정상운영","2022-12-06","실내","37.5244287191843","22779","",130,"m2GyWUAfsol4IKbswNtDbWtLbJzdwXPxdRwjOpajQA4=","태권도","서구","신현동","서구","22779","126.665321218222","2023-02-18","신고","인천광역시","경희대 태권도장","인천광역시 서구 봉오재1로 15(신현동, 루원시티 대성베르힐)","Y","체육도장업","인천광역시 서구 신현동 304-1 루원시티 대성베르힐"
"충청북도","N",277,"20161206","정상운영","2016-12-06","실내","36.618245147","28764","",197,"PLPr+Gz3XDw+ToCenNKWsIivllK8RW3wSPORxIxhMXo=","태권도","청주시","용암동","청주시 상당구","28764","127.5125614239","2023-03-18","신고","충청북도","청솔체육관(태권도)","충청북도 청주시 상당구 중흥로 178 (용암동, 중흥마을부영e그린타운3차아파트)","Y","체육도장업","충청북도 청주시 상당구 용암동  2540 중흥마을부영e그린타운3차아파트"
"전라남도","N",278,"20170616","정상운영","2017-06-16","실내","34.609626382","59538","",0,"McNtlH+O/kkDwwk+ThbIvtF8LqAFt720O2NE+X7SNnY=","태권도","고흥군","남계리","고흥군","59538","127.2875804325","2023-03-31","신고","전라남도","청동태권도장","전라남도 고흥군 고흥읍 원동남계길 5","Y","체육도장업",""
"전라북도","N",279,"20130308","정상운영","2017-09-07","없음","","55062","",172,"MvG2nnz1jVJkpzEcfyt1sc30C97BwhDPDcCy0J3X9+o=","태권도","전주시","중화산동2가","전주시 완산구","55062","","2023-04-29","신고","전라북도","전주 용인대 유도& 주짓수","전라북도 전주시 완산구 호암로 63, 5층 (효자동2가)","Y","체육도장업","전라북도 전주시 완산구 효자동2가 1317-3 "
"대전광역시","N",280,"","정상운영","2016-12-29","없음","36.3121250298","34992","",112,"R4FOVEfw9CXFcILKGtfdeoQzwRDPMAG4ORryuRgavq4=","태권도","중구","문화동","중구","34992","127.3975847296","2020-07-27","신고","대전광역시","백호태권도 ","대전광역시 중구 문화로 106-1 (문화동)","Y","체육도장업","대전광역시 중구 문화동  676-6"
"경상북도","N",281,"20210226","정상운영","2021-05-24","실내","36.1592931719647","39147","",247,"Zr0AiJvFMkCwnz24C9r6DTAy7N5E3mZPnH5eDfu3G7E=","태권도","구미시","문성리","구미시","39147","128.347497212198","2023-05-09","신고","경상북도","바름태권도장","경상북도 구미시 고아읍 당산로 4","Y","체육도장업","경상북도 구미시 고아읍 문성리 1855"
"경기도","N",282,"20161208","정상운영","2016-12-08","실내","37.519735531","14473","",98,"RDYJH3bm0CiiQagmi9TAcIEzOMMxbbYAcH00lnheMvE=","태권도","부천시","원종동","부천시","14473","126.8070907952","2023-02-18","신고","경기도","천지태권도장","경기도 부천시 삼작로410번길 4 (원종동)","Y","체육도장업","경기도 부천시 원종동  366-2"
